ID,発生日時,取引先,担当者,社員番号,カテゴリ,内容,対応工数(h)
5_10001,2022/5/6 22:26,テスト２株式会社,鈴木,1300000,使用方法,・・・,2
4_10018,2022/4/28 15:54,テスト２株式会社,中村,1400000,その他,・・・,1
5_10004,2022/5/3 13:31,テスト２株式会社,田中,1100000,使用方法,・・・,0.5
5_10009,2022/5/19 8:31,テスト３株式会社,佐藤,1200000,使用方法,・・・,0.5
4_10026,2022/4/21 8:28,テスト１株式会社,中村,1400000,契約内容,・・・,2
4_10028,2022/4/29 7:43,テスト１株式会社,鈴木,1300000,契約内容,・・・,2
4_10007,2022/4/13 0:57,テスト２株式会社,中村,1400000,契約内容,・・・,1
5_10005,2022/5/27 11:45,テスト２株式会社,中村,1400000,契約内容,・・・,2
4_10022,2022/4/3 7:12,テスト２株式会社,鈴木,1300000,使用方法,・・・,1
4_10034,2022/4/15 13:05,テスト２株式会社,鈴木,1300000,使用方法,・・・,1.5
4_10001,2022/4/17 16:35,テスト１株式会社,鈴木,1300000,契約内容,・・・,1.5
5_10006,2022/5/29 13:30,テスト１株式会社,田中,1100000,使用方法,・・・,1.5
5_10013,2022/5/29 23:48,テスト１株式会社,中村,1400000,契約内容,・・・,0.5
4_10027,2022/4/26 7:48,テスト３株式会社,佐藤,1200000,使用方法,・・・,1
5_10014,2022/5/16 23:41,テスト１株式会社,鈴木,1300000,契約内容,・・・,1
4_10004,2022/4/21 23:15,テスト１株式会社,鈴木,1300000,使用方法,・・・,1
4_10021,2022/4/19 20:00,テスト１株式会社,佐藤,1200000,使用方法,・・・,1
4_10030,2022/4/2 23:13,テスト１株式会社,田中,1100000,使用方法,・・・,1.5
4_10011,2022/4/29 20:29,テスト１株式会社,田中,1100000,使用方法,・・・,1
5_10007,2022/5/2 4:03,テスト２株式会社,鈴木,1300000,契約内容,・・・,1.5
4_10013,2022/4/5 21:10,テスト３株式会社,佐藤,1200000,その他,・・・,1
4_10012,2022/4/30 6:22,テスト１株式会社,鈴木,1300000,使用方法,・・・,1
4_10002,2022/4/25 16:53,テスト３株式会社,佐藤,1200000,契約内容,・・・,0.5
5_10015,2022/5/23 9:56,テスト１株式会社,田中,1100000,使用方法,・・・,1.5
4_10035,2022/4/9 5:05,テスト１株式会社,佐藤,1200000,その他,・・・,1.5
4_10019,2022/4/24 11:48,テスト２株式会社,中村,1400000,契約内容,・・・,1
4_10015,2022/4/2 2:27,テスト１株式会社,鈴木,1300000,契約内容,・・・,2
4_10023,2022/4/14 21:33,テスト３株式会社,田中,1100000,使用方法,・・・,0.5
4_10024,2022/4/22 15:38,テスト１株式会社,鈴木,1300000,使用方法,・・・,2
4_10006,2022/4/15 17:11,テスト２株式会社,鈴木,1300000,契約内容,・・・,1
4_10014,2022/4/23 14:23,テスト１株式会社,田中,1100000,その他,・・・,1.5
5_10010,2022/5/14 12:33,テスト１株式会社,鈴木,1300000,使用方法,・・・,1
4_10032,2022/4/19 14:05,テスト２株式会社,鈴木,1300000,使用方法,・・・,0.5
4_10003,2022/4/9 16:04,テスト１株式会社,田中,1100000,使用方法,・・・,1.5
5_10012,2022/5/21 5:18,テスト２株式会社,鈴木,1300000,契約内容,・・・,0.5
4_10009,2022/4/8 15:02,テスト１株式会社,佐藤,1200000,その他,・・・,1.5
4_10031,2022/4/25 3:58,テスト３株式会社,鈴木,1300000,その他,・・・,2
5_10003,2022/5/25 10:45,テスト２株式会社,中村,1400000,契約内容,・・・,2
4_10029,2022/4/23 14:37,テスト１株式会社,田中,1100000,契約内容,・・・,0.5
4_10005,2022/4/8 12:59,テスト３株式会社,鈴木,1300000,その他,・・・,2
4_10016,2022/4/9 0:13,テスト１株式会社,田中,1100000,使用方法,・・・,1.5
4_10008,2022/4/17 0:15,テスト１株式会社,鈴木,1300000,使用方法,・・・,0.5
4_10025,2022/4/2 13:34,テスト２株式会社,佐藤,1200000,契約内容,・・・,1.5
5_10002,2022/5/4 3:24,テスト１株式会社,田中,1100000,その他,・・・,1
4_10017,2022/4/8 23:27,テスト２株式会社,中村,1400000,契約内容,・・・,0.5
4_10033,2022/4/5 3:15,テスト１株式会社,田中,1100000,その他,・・・,1
5_10008,2022/5/7 11:43,テスト３株式会社,中村,1400000,その他,・・・,0.5
5_10011,2022/5/25 8:17,テスト２株式会社,鈴木,1300000,契約内容,・・・,1
